阿城, 黑龙江省哈尔滨市阿城区会宁路61号, √, √, √, 哈尔滨铁路局, 车站
老边, 辽宁省营口市老边区龙山街, √, 　, 　, 沈阳铁路局, 车站
老府, 内蒙古自治区赤峰市松山区老府镇河东村, √, 　, 　, 沈阳铁路局, 车站
老营, 吉林省白山市八道江区六道江镇, √, 　, 　, 沈阳铁路局, 车站
连山关, 辽宁省本溪满族自治县连山关镇, √, 　, 　, 沈阳铁路局, 车站
两家, 吉林省大安市两家子镇, √, 　, 　, 沈阳铁路局, 车站
亮甲店, 辽宁省大连市金州区亮甲店镇, √, 　, 　, 沈阳铁路局, 车站
辽阳, 辽宁省辽阳市中华大街1段1号, √, √, √, 沈阳铁路局, 车站
辽源, 吉林省辽源市辽河大路2号, √, √, √, 沈阳铁路局, 车站
辽中, 辽宁省沈阳市辽中县辽中镇孙家万村, √, 　, 　, 沈阳铁路局, 车站
临？ 江, 吉林省临江市新市街, √, √, √, 沈阳铁路局, 车站
凌海, 辽宁省凌海市铁南路, √, √, √, 沈阳铁路局, 车站
凌源, 辽宁省凌源市红山路西段179-11, √, √, √, 沈阳铁路局, 车站
凌源东, 辽宁省凌源市光明路127号, √, 　, 　, 沈阳铁路局, 车站
刘家店, 吉林省榆树市刘家镇开发街450号, √, 　, 　, 沈阳铁路局, 车站
刘家河, 辽宁省凤城市刘家河镇, √, 　, 　, 沈阳铁路局, 车站
柳河, 吉林省通化市柳河县站前路122号, √, √, √, 沈阳铁路局, 车站
柳树屯, 辽宁省葫芦岛市连山区寺儿堡乡营盘村, √, 　, 　, 沈阳铁路局, 车站
龙嘉, 吉林省九台市东湖镇, √, 　, 　, 沈阳铁路局, 车站
龙井, 吉林省龙井市龙井街138号, √, 　, 　, 沈阳铁路局, 车站
龙爪沟, 辽宁省宽甸满族自治县灌水镇龙爪沟村, √, 　, 　, 沈阳铁路局, 车站
露水河, 吉林省抚松县露水河镇站前街, √, √, √, 沈阳铁路局, 车站
鹿道, 黑龙江省宁安市马河乡鹿道村, √, 　, 　, 沈阳铁路局, 车站
旅顺, 辽宁省大连市旅顺口区井岗街8号, √, 　, 　, 沈阳铁路局, 车站
马林, 内蒙古自治区赤峰市元宝山区元宝山镇马林第一居委会, √, 　, 　, 沈阳铁路局, 车站
马三家, 辽宁省沈阳市于洪区马三家镇御道西路, √, 　, 　, 沈阳铁路局, 车站
茂林, 吉林省双辽市茂林镇, √, 　, 　, 沈阳铁路局, 车站
梅河口, 吉林省梅河口市站前路1号, √, √, √, 沈阳铁路局, 车站
米沙子, 吉林省德惠市米沙子镇, √, 　, 　, 沈阳铁路局, 车站
庙岭, 吉林省汪清县大兴沟镇庙岭村, √, 　, 　, 沈阳铁路局, 车站
明城, 吉林省磐石市明城镇, √, √, √, 沈阳铁路局, 车站
明水河, 内蒙古自治区兴安盟阿尔山市明水河镇, √, 　, 　, 沈阳铁路局, 车站
木里图, 内蒙古自治区通辽市木里图镇, √, 　, 　, 沈阳铁路局, 车站
乃林, 内蒙古自治区赤峰市喀喇沁旗乃林镇, √, 　, 　, 沈阳铁路局, 车站
奈曼, 内蒙古自治区通辽市大沁他拉镇, √, √, √, 沈阳铁路局, 车站
南芬, 辽宁省本溪市南芬区街里14组, √, 　, 　, 沈阳铁路局, 车站
南关岭, 辽宁省大连市甘井子区南岭街40号, √, 　, 　, 沈阳铁路局, 车站
南口前, 辽宁省抚顺市清原满族治自县南口前镇河北街, √, 　, 　, 沈阳铁路局, 车站
南桥, 辽宁省葫芦岛市建昌县黑山科乡, √, 　, 　, 沈阳铁路局, 车站
南台, 辽宁省海城市南台镇, √, 　, 　, 沈阳铁路局, 车站
南杂木, 辽宁省抚顺市新宾满族治自县南杂木镇车站街, √, 　, 　, 沈阳铁路局, 车站
能家, 辽宁省北票市八家子乡, √, 　, 　, 沈阳铁路局, 车站
泥河子, 辽宁省锦州市义县义州镇前扬乡, √, 　, 　, 沈阳铁路局, 车站
宁家, 内蒙古自治区兴安盟宁家镇, √, 　, 　, 沈阳铁路局, 车站
牛心台, 辽宁省本溪市明山区牛心台镇, √, 　, 　, 沈阳铁路局, 车站
农安, 吉林省农安县站前街199号, √, √, √, 沈阳铁路局, 车站
盘锦, 辽宁省盘锦市双台子区双兴北路, √, √, √, 沈阳铁路局, 车站
盘锦北, 辽宁省盘锦市盘山县甜水镇孙家村, √, 　, 　, 沈阳铁路局, 车站
磐石, 吉林省磐石市站前路1号, √, √, √, 沈阳铁路局, 车站
泡子, 辽宁省阜新县泡子镇站前街001号, √, 　, 　, 沈阳铁路局, 车站
皮口, 辽宁省普兰店市皮口镇建设街, √, 　, 　, 沈阳铁路局, 车站
偏岭, 辽宁省本溪市本溪县高官镇, √, 　, 　, 沈阳铁路局, 车站
瓢儿屯, 辽宁省抚顺市望花区锦州路东段37号, √, 　, 　, 沈阳铁路局, 车站
平安, 吉林省舒兰市平安镇, √, 　, 　, 沈阳铁路局, 车站
平安镇, 吉林省白城市洮北区平安镇, √, 　, 　, 沈阳铁路局, 车站
平岗, 吉林省东辽县泉太镇, √, 　, 　, 沈阳铁路局, 车站
平台, 吉林省白城市洮北区平台镇, √, 　, 　, 沈阳铁路局, 车站
平庄, 内蒙古自治区赤峰市元宝山区平庄镇, √, √, √, 沈阳铁路局, 车站
平庄南, 内蒙古自治区赤峰市喀拉沁旗乃林镇？, √, 　, 　, 沈阳铁路局, 车站
普兰店, 辽宁省普兰店市站前街1-1号, √, √, √, 沈阳铁路局, 车站
普湾, 辽宁省大连市普湾新区石河镇, √, 　, 　, 沈阳铁路局, 车站
七里河, 辽宁省锦州市义县七里河镇, √, 　, 　, 沈阳铁路局, 车站
祁家堡, 辽宁省本溪满族自治县草河口镇祁家堡村, √, 　, 　, 沈阳铁路局, 车站
前卫, 凌海葫芦岛市绥中县前卫镇长江村, √, 　, 　, 沈阳铁路局, 车站
乾安, 吉林省松原市乾安县水字井镇, √, √, √, 沈阳铁路局, 车站
桥头, 辽宁省本溪市平山区桥头镇兴隆村, √, 　, 　, 沈阳铁路局, 车站
清河门, 辽宁省阜新市清河门区南昌路, √, 　, 　, 沈阳铁路局, 车站
清原, 辽宁省抚顺市清原县柴河路-49号, √, √, √, 沈阳铁路局, 车站
庆丰, 吉林省长岭县三十号乡, √, 　, 　, 沈阳铁路局, 车站
泉 阳, 吉林省白山市抚松县泉阳镇长林街, √, √, √, 沈阳铁路局, 车站
绕阳河, 辽宁省锦州市黑山县绕阳河镇, √, 　, 　, 沈阳铁路局, 车站
热水, 内蒙古自治区赤峰市元宝山区美丽河镇, √, 　, 　, 沈阳铁路局, 车站
三江口, 辽宁省昌图县三江口镇, √, 　, 　, 沈阳铁路局, 车站
三十家, 辽宁省凌源市三十家子镇南街村, √, 　, 　, 沈阳铁路局, 车站
三十里堡, 辽宁省大连市金州区三十里堡站民胜街38号, √, 　, 　, 沈阳铁路局, 车站
三台, 辽宁省沈阳市于洪区光辉乡, √, 　, 　, 沈阳铁路局, 车站
三义井, 内蒙古自治区赤峰市敖汉旗长胜镇三义井村, √, 　, 　, 沈阳铁路局, 车站
三源浦, 吉林省通化市柳河县三源浦镇, √, 　, 　, 沈阳铁路局, 车站
沙海, 辽宁省建平县沙海乡本街, √, 　, 　, 沈阳铁路局, 车站
沙河口, 辽宁省大连市沙河口区中长街1号, √, 　, 　, 沈阳铁路局, 车站
沙后所, 辽宁省兴城市沙后所镇西关村, √, 　, 　, 沈阳铁路局, 车站
山城镇, 吉林省梅河口市山城镇团结街, √, √, √, 沈阳铁路局, 车站
山海关, 河北省秦皇岛市山海关区南关大街2号, √, √, √, 沈阳铁路局, 车站
山河屯, 黑龙江省五常市山河镇站前街, √, √, √, 沈阳铁路局, 车站
上园, 辽宁省北票市上园镇上园村, √, 　, 　, 沈阳铁路局, 车站
舍力虎, 内蒙古自治区通辽市奈曼旗大沁他拉镇西店子村, √, 　, 　, 沈阳铁路局, 车站
深井子, 辽宁省沈阳市东陵区深井子镇, √, 　, 　, 沈阳铁路局, 车站
沈阳, 辽宁省沈阳市和平区胜利南街2号, √, √, √, 沈阳铁路局, 车站
沈阳北, 辽宁省沈阳市沈河区北站路102号, √, √, √, 沈阳铁路局, 车站
沈阳东, 辽宁省沈阳市大东区东站街1号, √, 　, 　, 沈阳铁路局, 车站
石 人, 吉林省白山市江源区石人镇, √, 　, 　, 沈阳铁路局, 车站
石城, 辽宁省凤城市石城镇, √, 　, 　, 沈阳铁路局, 车站
石岭, 吉林省梨树县石岭西街23号, √, 　, 　, 沈阳铁路局, 车站
石桥子, 辽宁省本溪市石桥子镇石桥子街金桥路, √, 　, 　, 沈阳铁路局, 车站
石山, 辽宁省凌海市石山镇站前街, √, 　, 　, 沈阳铁路局, 车站
石岘, 吉林省图们市石岘镇七委, √, 　, 　, 沈阳铁路局, 车站
首山, 辽宁省辽阳市辽阳县首山镇7委, √, 　, 　, 沈阳铁路局, 车站
舒兰, 吉林省舒兰市站前路3号, √, √, √, 沈阳铁路局, 车站
双河镇, 吉林省永吉县双河镇, √, 　, 　, 沈阳铁路局, 车站
双吉, 吉林省吉林市经济开发区九站街道, √, 　, 　, 沈阳铁路局, 车站
双羊店, 辽宁省凌海市双羊店镇, √, 　, 　, 沈阳铁路局, 车站
水 洞, 吉林省通化市二道江区鸭园镇东热村, √, 　, 　, 沈阳铁路局, 车站
水泉, 辽宁省凌源市宋杖子镇水泉村, √, 　, 　, 沈阳铁路局, 车站
四道湾, 内蒙古老哈河赤峰市敖汉旗四道湾镇六道湾村, √, 　, 　, 沈阳铁路局, 车站
四合永, 河北省承德市围场县四合永镇, √, √, √, 沈阳铁路局, 车站
四平, 吉林省四平市英雄大街1号, √, √, √, 沈阳铁路局, 车站
四平东, 吉林省四平市紫气大路1号, √,  ,  , 沈阳铁路局, 车站
松江河, 吉林省白山市抚松县松江河镇, √, √, √, 沈阳铁路局, 车站
松江镇, 吉林省安图县松江镇, √, 　, 　, 沈阳铁路局, 车站
松树, 辽宁省瓦房店市松树镇松树街423, √, 　, 　, 沈阳铁路局, 车站
松树镇, 吉林省白山市江源区松树镇, √, √, √, 沈阳铁路局, 车站
松原, 吉林省松原市乌兰大街2号, √, √, √, 沈阳铁路局, 车站
苏家屯, 辽宁省沈阳市苏家屯区枫杨路1号, √,  ,  , 沈阳铁路局, 车站
绥中, 辽宁省绥中县站前街4号, √, √, √, 沈阳铁路局, 车站
绥中北, 辽宁省葫芦岛市绥中县城郊乡西园子村, √, 　, 　, 沈阳铁路局, 车站
索伦, 内蒙古自治区兴安盟科右前旗索伦镇, √, 　, 　, 沈阳铁路局, 车站
台安, 辽宁省鞍山市台安县台北区杜家村, √, 　, 　, 沈阳铁路局, 车站
太平川, 吉林省松原市长岭县太平川镇, √, 　, 　, 沈阳铁路局, 车站
太阳升, 黑龙江省大庆市大同区葡萄花镇, √, 　, 　, 沈阳铁路局, 车站
汤山城, 辽宁省丹东市汤山城镇, √, 　, 　, 沈阳铁路局, 车站
唐家, 辽宁省黑山县常兴镇唐家村, √, 　, 　, 沈阳铁路局, 车站
洮南, 吉林省洮南市广场东路, √, √, √, 沈阳铁路局, 车站
陶家屯, 吉林省公主岭市陶家屯镇, √, 　, 　, 沈阳铁路局, 车站
陶赖昭, 吉林省扶余县陶赖昭镇, √, 　, 　, 沈阳铁路局, 车站
天岗, 吉林省蛟河市天岗镇, √, 　, 　, 沈阳铁路局, 车站
天桥岭, 吉林省汪清县天桥岭镇站前街, √, 　, 　, 沈阳铁路局, 车站
天义, 内蒙古自治区赤峰市宁城县天义镇, √, √, √, 沈阳铁路局, 车站
田师府, 辽宁省本溪满族自治县田师府镇, √, 　, 　, 沈阳铁路局, 车站
铁 厂, 吉林省通化市二道江区铁厂镇, √, 　, 　, 沈阳铁路局, 车站
铁岭, 辽宁省铁岭市银州区光荣街38号, √, 　, 　, 沈阳铁路局, 车站
铁岭西, 辽宁省铁岭市西南凡河镇杨威楼村, √, 　, 　, 沈阳铁路局, 车站
通沟, 吉林省通化市柳河县柳南乡, √, 　, 　, 沈阳铁路局, 车站
通化, 吉林省通化市东昌区建设大街129号, √, √, √, 沈阳铁路局, 车站
通化县, 吉林省通化县开发区河口村, √, 　, 　, 沈阳铁路局, 车站
通辽, 内蒙古自治区通辽市科尔沁区南顺大街14号, √, √, √, 沈阳铁路局, 车站
通途, 吉林省前郭尔罗斯蒙古族自治县毛都站镇, √, 　, 　, 沈阳铁路局, 车站
通远堡, 辽宁省凤城市通远堡镇胜利街站前委, √, 　, 　, 沈阳铁路局, 车站
图们, 吉林省图们市光明街18号, √, √, √, 沈阳铁路局, 车站
吐列毛杜, 内蒙古自治区兴安盟科右中旗吐列毛杜镇, √, 　, 　, 沈阳铁路局, 车站
驼腰岭, 吉林省通化市柳河县驼腰岭镇, √, 　, 　, 沈阳铁路局, 车站
瓦房店, 辽宁省瓦房店市东长春路一段解放街38-5, √, √, √, 沈阳铁路局, 车站
瓦房店西, 辽宁省瓦房店市老虎屯镇大老虎村, √, 　, 　, 沈阳铁路局, 车站
歪头山, 辽宁省本溪市溪湖区歪头山镇柳峪村, √, 　, 　, 沈阳铁路局, 车站
湾？ 沟, 吉林省白山市江源区湾沟镇, √, 　, 　, 沈阳铁路局, 车站
汪清, 吉林省汪清县汪清镇东镇街45号, √, √, √, 沈阳铁路局, 车站
王府, 吉林省松原市前郭县王府镇, √, 　, 　, 沈阳铁路局, 车站
苇子沟, 吉林省图们市长安镇长兴社区, √, 　, 　, 沈阳铁路局, 车站
卫东, 内蒙古自治区兴安盟卫东镇, √, 　, 　, 沈阳铁路局, 车站
渭津, 吉林省东辽县渭津镇, √, 　, 　, 沈阳铁路局, 车站
魏杖子, 辽宁省凌源市刘杖子乡魏杖子村, √, 　, 　, 沈阳铁路局, 车站
沃皮, 吉林省德惠市米沙子镇, √, 　, 　, 沈阳铁路局, 车站
乌兰浩特, 内蒙古自治区兴安盟乌兰浩特市陵园路13号, √, √, √, 沈阳铁路局, 车站
吴家屯, 辽宁省沈阳市苏家屯区吴家屯村, √, 　, 　, 沈阳铁路局, 车站
五叉沟, 内蒙古自治区阿尔山市五叉沟镇, √, √, √, 沈阳铁路局, 车站
五道沟, 吉林省通化市柳河县五道沟镇, √, 　, 　, 沈阳铁路局, 车站
五棵树, 吉林省榆树市五棵树镇长安路499号, √, 　, 　, 沈阳铁路局, 车站
五龙背, 辽宁省丹东市振安区五龙背镇, √, √, √, 沈阳铁路局, 车站
五女山, 辽宁省本溪市桓仁满族自治县桓仁镇, √, 　, 　, 沈阳铁路局, 车站
汐子, 内蒙古自治区赤峰市宁城县汐子镇, √, 　, 　, 沈阳铁路局, 车站
西丰, 辽宁省西丰县西丰镇红旗路红光街, √, 　, 　, 沈阳铁路局, 车站
西柳, 辽宁省海城市西柳镇, √, √, √, 沈阳铁路局, 车站
西哲里木, 内蒙古自治区兴安盟科右中旗巴仁哲里木苏木, √, 　, 　, 沈阳铁路局, 车站
下马塘, 辽宁省本溪市南芬区下马塘镇, √, 　, 　, 沈阳铁路局, 车站
仙人桥, 吉林省白山市抚松县仙人桥镇, √, 　, 　, 沈阳铁路局, 车站
小东, 辽宁省锦州市黑山县小东镇, √, 　, 　, 沈阳铁路局, 车站
小河沿, 内蒙古自治区赤峰市敖汉旗四道湾子镇白庙子村, √, 　, 　, 沈阳铁路局, 车站
小平房, 辽宁省朝阳市建平县万寿镇平安地村, √, 　, 　, 沈阳铁路局, 车站
小市, 辽宁省本溪满族自治县小市镇站前街长江路47号, √, 　, 　, 沈阳铁路局, 车站
谢家镇, 吉林省榆树市谢家镇, √, 　, 　, 沈阳铁路局, 车站
新城子, 沈阳市沈北新区飞马街, √, 　, 　, 沈阳铁路局, 车站
新立屯, 辽宁省锦州市黑山县新立屯镇铁北社区铁北路8号, √, √, √, 沈阳铁路局, 车站
新立镇, 吉林省榆树市新立镇, √, 　, 　, 沈阳铁路局, 车站
新民, 辽宁省新民市站前东路36号, √, √, √, 沈阳铁路局, 车站
新邱, 辽宁省阜新市新邱区新邱大街2号, √, 　, 　, 沈阳铁路局, 车站
新窝铺, 内蒙古自治区赤峰市敖汉旗木头营子乡新窝铺村, √, 　, 　, 沈阳铁路局, 车站
新肇, 黑龙江省肇源县新站镇新肇街, √, √, √, 沈阳铁路局, 车站
兴城, 辽宁省兴城市宁远街站前路, √, √, √, 沈阳铁路局, 车站
兴隆店, 辽宁省新民市兴隆镇, √, 　, 　, 沈阳铁路局, 车站
杏树屯, 辽宁省大连市金州区杏树屯镇, √, 　, 　, 沈阳铁路局, 车站
熊岳城, 辽宁省营口市鲅鱼圈区熊岳镇站前街, √, √, √, 沈阳铁路局, 车站
许家屯, 辽宁省瓦房店市许屯镇许屯街, √, 　, 　, 沈阳铁路局, 车站
薛家, 辽宁省锦州市太和区大薛乡, √,  ,  , 沈阳铁路局, 车站
鸭？ 圆, 吉林省通化市二道江区鸭园镇鸭园街, √, 　, 　, 沈阳铁路局, 车站
烟筒山, 吉林省磐石市烟筒山镇站前街1号, √, √, √, 沈阳铁路局, 车站
延吉, 吉林省延吉市站前街1333号, √, √, √, 沈阳铁路局, 车站
羊场, 内蒙古自治区赤峰市敖汉旗种羊场, √, √, √, 沈阳铁路局, 车站
阳 岔, 吉林省集安市阳岔乡, √, 　, 　, 沈阳铁路局, 车站
杨树岭, 河北省平泉县杨树岭镇, √, 　, 　, 沈阳铁路局, 车站
杨杖子, 辽宁省凌源市杨杖子镇, √, 　, 　, 沈阳铁路局, 车站
姚家, 吉林省德惠市菜园子镇姚家村, √, 　, 　, 沈阳铁路局, 车站
姚千户屯, 辽宁省沈阳市苏家屯区姚千户屯镇, √, 　, 　, 沈阳铁路局, 车站
叶柏寿, 辽宁省朝阳市建平县叶柏寿镇铁南街, √, √, √, 沈阳铁路局, 车站
一间堡, 吉林长春市宽城区奋进乡, √, 　, 　, 沈阳铁路局, 车站
一面山, 辽宁省凤城市边门镇, √, 　, 　, 沈阳铁路局, 车站
伊尔施, 内蒙古自治区阿尔山市伊尔施镇, √, 　, 　, 沈阳铁路局, 车站
义县, 辽宁省锦州市义县义州镇军民街迎宾路46, √, √, √, 沈阳铁路局, 车站
营城子, 辽宁省大连市甘井子区营城子街, √, 　, 　, 沈阳铁路局, 车站
营口, 辽宁省营口市站前区站前广场2号, √, √, √, 沈阳铁路局, 车站
营口东, 辽宁省营口市老边区柳树镇前三岔子村, √, 　, 　, 沈阳铁路局, 车站
余粮堡, 内蒙古自治区通辽市科尔沁区余粮堡镇, √, 　, 　, 沈阳铁路局, 车站
榆树, 吉林省榆树市铁北路144号, √, √, √, 沈阳铁路局, 车站
元宝山, 内蒙古自治区赤峰市元宝山区元宝山镇玉皇村, √, 　, 　, 沈阳铁路局, 车站
咋 子, 吉林省白山市江源区咋子镇, √, 　, 　, 沈阳铁路局, 车站
扎鲁特, 内蒙古自治区霍林郭勒市扎鲁特旗黄花山镇, √, 　, 　, 沈阳铁路局, 车站
章党, 辽宁省抚顺市东洲区章党路3号, √, 　, 　, 沈阳铁路局, 车站
章古台, 辽宁省阜新市彰武县章古台镇, √, 　, 　, 沈阳铁路局, 车站
彰武, 辽宁省阜新市彰武县铁东路2-38, √, √, √, 沈阳铁路局, 车站
镇赉, 吉林省白城市镇赉县站前街, √, √, √, 沈阳铁路局, 车站
镇西, 吉林省白城市洮北区镇西镇, √, 　, 　, 沈阳铁路局, 车站
郑家屯, 吉林省双辽市郑家屯街东村路1号, √, √, √, 沈阳铁路局, 车站
治安, 内蒙古自治区通辽市奈曼旗治安镇, √, 　, 　, 沈阳铁路局, 车站
周家屯, 辽宁省锦州市义县头道河乡周家屯村, √, 　, 　, 沈阳铁路局, 车站
周水子, 辽宁省大连市甘井子区周水子广场8号, √, 　, 　, 沈阳铁路局, 车站
珠斯花, 内蒙古自治区通辽市霍林郭勒市珠斯花, √, 　, 　, 沈阳铁路局, 车站
阿尔山, 内蒙古自治区兴安盟阿尓山市, √, √, √, 沈阳铁路局, 乘降所
阿金, 辽宁省阜新市阜蒙县人民街, √, √, √, 沈阳铁路局, 乘降所
安广, 吉林省大安市安广镇, √, √, √, 沈阳铁路局, 乘降所
安平, 辽宁省辽阳市弓长岭区安平街道, √, 　, 　, 沈阳铁路局, 乘降所
安图, 吉林省安图县明月镇明安街187号, √, √, √, 沈阳铁路局, 乘降所
鞍山, 辽宁省鞍山市建国路1号, √, √, √, 沈阳铁路局, 乘降所
鞍山西, 辽宁省鞍山市千山区宁远镇太阳气村, √, 　, 　, 沈阳铁路局, 乘降所
敖力布告, 内蒙古自治区通辽市科左中旗代力吉镇, √, 　, 　, 沈阳铁路局, 乘降所
八角台, 辽宁省锦州市太和区兴隆街道, √, 　, 　, 沈阳铁路局, 乘降所
八面城, 辽宁省昌图县八面城镇站前委, √, √, √, 沈阳铁路局, 乘降所
八仙筒, 内蒙古自治区通辽市奈曼旗八仙筒镇, √, √, √, 沈阳铁路局, 乘降所
鲅鱼圈, 辽宁省营口市鲅鱼圈区熊岳城镇于园子村, √, 　, 　, 沈阳铁路局, 乘降所
白城, 吉林省白城市辽北路60号, √, √, √, 沈阳铁路局, 乘降所
白河, 吉林省安图县二道白河镇站前街站, √, √, √, 沈阳铁路局, 乘降所
白狼, 内蒙古自治区阿尔山市白狼镇, √, 　, 　, 沈阳铁路局, 乘降所
白泉, 吉林省东辽县东交大街157号, √, 　, 　, 沈阳铁路局, 乘降所
白山市, 吉林省白山市八道江区东兴街17号, √, √, √, 沈阳铁路局, 乘降所
白石山, 吉林省蛟河市白石山镇铁北街1号, √, 　, 　, 沈阳铁路局, 乘降所
白音胡硕, 内蒙古自治区兴安盟科尔沁右翼中旗白音胡硕镇, √, √, √, 沈阳铁路局, 乘降所
白音他拉, 内蒙古自治区通辽市奈曼旗白音他拉镇, √, 　, 　, 沈阳铁路局, 乘降所
宝龙山, 内蒙古自治区通辽市科左中旗宝龙山镇, √, 　, 　, 沈阳铁路局, 乘降所
保康, 内蒙古自治区通辽市科左中旗保康镇科尔沁大街, √, √, √, 沈阳铁路局, 乘降所
北票南, 辽宁省北票市大板镇金岭寺村, √, 　, 　, 沈阳铁路局, 乘降所
北台, 辽宁省本溪市平山区北台街道办事处, √, 　, 　, 沈阳铁路局, 乘降所
本溪, 辽宁省本溪市平山区站前3号, √, √, √, 沈阳铁路局, 乘降所
本溪湖, 辽宁省本溪市溪湖区民主路站前街, √, 　, 　, 沈阳铁路局, 乘降所
布海, 吉林省德惠市布海乡, √, 　, 　, 沈阳铁路局, 乘降所
蔡家沟, 吉林省松原市扶余县蔡家沟镇道西街, √, 　, 　, 沈阳铁路局, 乘降所
苍石, 辽宁省清原县红透山镇苍石村, √, 　, 　, 沈阳铁路局, 乘降所
草河口, 辽宁省本溪市本溪满族自治县草河口镇, √, 　, 　, 沈阳铁路局, 乘降所
草市, 辽宁省清原县草市镇市府路20号, √, 　, 　, 沈阳铁路局, 乘降所
柴岗, 吉林省农安县哈拉海镇柴岗村, √, 　, 　, 沈阳铁路局, 乘降所
昌图, 辽宁省铁岭市昌图县站前街, √, √, √, 沈阳铁路局, 乘降所
昌图西, 辽宁省昌图县昌图镇二高地村, √, 　, 　, 沈阳铁路局, 乘降所
长春, 吉林省长春市长白路5号, √, √, √, 沈阳铁路局, 乘降所
长春南, 吉林省长春市朝阳区开运街3881号, √, 　, 　, 沈阳铁路局, 乘降所
长春西, 吉林省长春市绿园区, √,  ,  , 沈阳铁路局, 乘降所
长甸, 辽宁省丹东市宽甸满族自治县长甸镇, √, 　, 　, 沈阳铁路局, 乘降所
长岭子, 辽宁省大连市旅顺口区长城街道, √, 　, 　, 沈阳铁路局, 乘降所
长山屯, 吉林省前郭尔罗斯蒙古族自治县长山镇, √, √, √, 沈阳铁路局, 乘降所
朝阳, 辽宁省朝阳市双塔区友谊大街3段1号, √, √, √, 沈阳铁路局, 乘降所
朝阳川, 吉林省延吉市朝阳川镇铁北路4号, √, 　, 　, 沈阳铁路局, 乘降所
朝阳地, 河北省承德市围场县朝阳地镇, √, 　, 　, 沈阳铁路局, 乘降所
朝阳镇, 吉林省辉南县朝阳镇站前路42号, √, √, √, 沈阳铁路局, 乘降所
陈相屯, 辽宁省沈阳市苏家屯区陈相镇, √, 　, 　, 沈阳铁路局, 乘降所
城子坦, 辽宁省普兰店市城子坦镇城广路103号, √, 　, 　, 沈阳铁路局, 乘降所
赤峰, 内蒙古自治区赤峰市红山区昭乌达路1段1号, √, √, √, 沈阳铁路局, 乘降所
赤峰西, 内蒙古自治区赤峰市穆家营子镇站前大街, √, 　, 　, 沈阳铁路局, 乘降所
春阳, 吉林省汪清县春阳镇春光村, √, 　, 　, 沈阳铁路局, 乘降所
达家沟, 吉林省德惠市达家沟镇, √, 　, 　, 沈阳铁路局, 乘降所
大安, 吉林省大安市锦华街道, √, 　, 　, 沈阳铁路局, 乘降所
大安北, 吉林省大安市安北街道, √, √, √, 沈阳铁路局, 乘降所
大巴, 辽宁省阜新县大巴镇杜代村, √, 　, 　, 沈阳铁路局, 乘降所
大堡, 辽宁省凤城市大堡蒙古族镇, √, 　, 　, 沈阳铁路局, 乘降所
大成, 辽宁省沈阳市皇姑区明廉街193号, √, 　, 　, 沈阳铁路局, 乘降所
大官屯, 辽宁省抚顺市新抚区千金路56号, √, 　, 　, 沈阳铁路局, 乘降所
大红旗, 辽宁省新民市大红旗镇北街8号, √, 　, 　, 沈阳铁路局, 乘降所
大虎山, 辽宁省黑山县大虎山镇水泉路, √, √, √, 沈阳铁路局, 乘降所
大连, 辽宁省大连市中山区长江路259号, √, √, √, 沈阳铁路局, 乘降所
大连北, 辽宁省大连市甘井子区华北路, √, 　, 　, 沈阳铁路局, 乘降所
大林, 内蒙古自治区通辽市大林镇, √, 　, 　, 沈阳铁路局, 乘降所
大平房, 辽宁省朝阳市龙城区大平房镇, √, 　, 　, 沈阳铁路局, 乘降所
大青沟, 内蒙古自治区通辽市科左后旗大青沟村, √, 　, 　, 沈阳铁路局, 乘降所
大石桥, 辽宁省大石桥市团结路2号, √, √, √, 沈阳铁路局, 乘降所
大石头, 吉林省敦化市大石头镇金融社区三组, √, √, √, 沈阳铁路局, 乘降所
大石寨, 内蒙古自治区兴安盟科右前旗大石寨镇, √, 　, 　, 沈阳铁路局, 乘降所
大屯, 吉林省长春市朝阳区富锋镇环山路600号, √, 　, 　, 沈阳铁路局, 乘降所
大兴沟, 吉林省汪清县大兴沟镇大兴路1号, √, 　, 　, 沈阳铁路局, 乘降所
大营子, 辽宁省朝阳市龙城区半拉山街半拉山村, √, 　, 　, 沈阳铁路局, 乘降所
丹东, 辽宁省丹东市振兴区五经街2号丹东站, √, √, √, 沈阳铁路局, 乘降所
刀尔登, 辽宁省凌源市刀尔登镇南营子村, √, 　, 　, 沈阳铁路局, 乘降所
到保, 吉林省白城市洮北区到保镇, √, 　, 　, 沈阳铁路局, 乘降所
道 清, 吉林省白山市浑江区六道江镇, √, 　, 　, 沈阳铁路局, 乘降所
得胜台, 辽宁省铁岭市凡河镇阮家村, √, 　, 　, 沈阳铁路局, 乘降所
德伯斯, 内蒙古自治区兴安盟科右前旗德佰斯镇, √, 　, 　, 沈阳铁路局, 乘降所
德惠, 吉林省德惠市沐德街66号, √, √, √, 沈阳铁路局, 乘降所
德惠西, 吉林省德惠市迎新村, √, 　, 　, 沈阳铁路局, 乘降所
灯塔, 辽宁省灯塔市站前街1号, √, 　, 　, 沈阳铁路局, 乘降所
登沙河, 辽宁省大连市金州区登沙河镇正阳街, √, 　, 　, 沈阳铁路局, 乘降所
东丰, 吉林省东丰县东丰镇站前大街, √, √, √, 沈阳铁路局, 乘降所
东来, 内蒙古自治区通辽市开鲁县东来镇, √, 　, 　, 沈阳铁路局, 乘降所
